symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
NAVINFLUOR,8277.5,8021.23,7706.85,6727.66,True,5.67,True,0.51,True,0.6,True,True,False,False,90,59.1,72.8,,8326.32,8189.8,8
TITAN,5068.0,4939.32,4704.73,4273.3,True,1.93,True,0.51,True,0.65,True,True,False,False,88,68.3,74.4,,5079.87,5032.96,8
INDUSINDBK,1016.7,1011.59,982.89,911.19,True,4.87,True,0.34,True,0.69,True,True,True,True,74,54.0,63.0,,1017.72,1006.59,8
HONASA,476.6,469.16,447.28,370.53,True,6.51,True,3.92,False,1.37,False,True,True,True,95,56.3,73.9,,480.43,470.58,7
IDEA,14.07,13.48,13.41,11.71,True,8.28,True,1.34,False,1.36,False,True,True,True,95,60.7,57.4,,14.23,13.87,7
MOTHERSON,170.29,160.64,151.56,131.72,True,1.72,True,0.55,True,0.64,True,False,False,False,94,73.9,75.1,⚠️ W RSI>75,173.44,169.14,7
M&MFIN,389.6,381.67,354.15,323.93,True,6.12,True,0.48,True,0.64,True,False,False,False,92,59.4,64.9,,394.84,381.12,7
CHOLAFIN,1873.5,1860.93,1788.75,1676.42,True,4.05,True,0.39,True,0.53,True,True,False,False,81,54.5,61.3,,1875.37,1851.25,7
IDFCFIRSTB,85.49,84.27,81.03,76.21,True,3.4,True,0.39,True,0.61,True,True,False,False,80,59.7,71.3,,85.64,84.92,7
AEGISLOG,1364.0,1311.31,1209.29,924.75,True,8.93,True,0.32,True,0.82,False,False,False,False,99,57.8,63.1,,1397.4,1337.26,6
ATHERENERG,1438.2,1406.14,1262.81,931.82,True,8.97,True,0.56,True,0.85,False,False,False,False,99,58.9,71.7,,1474.77,1429.57,6
RRKABEL,2898.8,2684.01,2460.96,1902.75,True,0.76,True,0.58,True,0.93,False,False,False,False,98,71.0,79.6,⚠️ W RSI>75,2923.82,2774.72,6
NEULANDLAB,23290.0,21546.07,19735.5,16584.33,True,2.47,True,1.1,False,0.78,False,True,False,False,97,70.0,80.8,⚠️ W RSI>75,23458.44,22979.0,6
REDINGTON,335.05,324.65,295.98,265.53,True,8.08,True,0.32,True,0.8,False,False,False,False,96,60.6,66.3,,337.19,322.38,6
KALYANKJIL,595.2,584.44,521.85,465.19,True,8.28,True,0.36,True,0.72,False,False,False,False,95,58.9,70.0,,604.6,587.41,6
CARTRADE,2783.5,2777.26,2632.67,2331.59,True,15.41,False,0.15,True,0.55,True,False,False,False,94,52.6,64.8,,2825.22,2767.23,6
SHRIRAMFIN,1106.0,1092.42,1051.81,953.43,True,4.13,True,0.5,True,0.76,False,False,False,False,94,56.3,63.0,,1114.11,1097.1,6
FEDERALBNK,358.8,352.03,337.52,292.67,True,3.14,True,0.36,True,0.82,False,False,False,False,93,60.9,73.9,,360.36,354.79,6
